"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Central Warehousing Corporation","CW Sarangapur","3890016","Central Warehouse, Jannepally Crossroad, Sarangapur","NIZAMABAD","TELANGANA","52816","02-Jun-2023","27-Dec-2027","8125799378","Active",""
"Central Warehousing Corporation","CW Medak","2850037","Near PG College, Siddipet Road, Medak","MEDAK","TELANGANA","11566","25-May-2023","24-May-2028","7337411044","Active",""
"Central Warehousing Corporation","CW,SIDDIPETA","3830028","Opposite government degree college, Medak road, Siddipeta","SIDDIPET","TELANGANA","19095","29-May-2023","26-Jun-2028","8885421312","Active",""
"CHALLA ANANTHAMMA","CHALLA ANANTHAMMA","6679591","3-4/2/5, NEKKONDA, WARANGAL,","WARANGAL RURAL","TELANGANA","10000","03-Feb-2023","02-Feb-2028","9492114990","Active",""
"CHALLA ANDALU","CHALLA ANDALU","6675367","3-4/2/4, NEKKONDA, WARANGAL,","WARANGAL RURAL","TELANGANA","10000","18-Jan-2023","17-Jan-2028","9492114990","Active",""
"CHALLA ARUNA","CHALLA ARUNA","6677702","3-4/2/1, NEKKONDA, WARANGAL,","WARANGAL RURAL","TELANGANA","10000","25-Jan-2023","24-Jan-2028","9492114990","Active",""
"CHALLA MANOGNYA","CHALLA MANOGNYA","6808836","45-6-421, GORREKUNTA,","WARANGAL RURAL","TELANGANA","24000","30-Nov-2023","29-Nov-2028","9492114990","Active",""
"CHALLA MANOGNYA","CHALLA MANOGNYA","6675276","3-4/2/8, NEKKONDA, WARANGAL,","WARANGAL RURAL","TELANGANA","10000","18-Jan-2023","17-Jan-2028","9492114990","Active",""
"CHALLA RAMADEVI","CHALLA RAMADEVI","6674915","3-4/2/2, NEKKONDA, WARANGAL,","WARANGAL RURAL","TELANGANA","10000","18-Jan-2023","17-Jan-2028","9492114990","Active",""
"CHALLA SRINIVAS REDDY","CHALLA SRINIVAS REDDY","6677611","3-4/2/3, NEKKONDA, WARANGAL,","WARANGAL RURAL","TELANGANA","5000","25-Jan-2023","24-Jan-2028","9492114990","Active",""
"CHALLA VARSHINI","CHALLA VARSHINI","6677256","3-4/2/10, NEKKONDA, WARANGAL.,","WARANGAL RURAL","TELANGANA","10000","24-Jan-2023","23-Jan-2028","9492114990","Active",""
"CHANDRAMOHAN PRATAPAGIRI","PRATAPAGIRI CHANDRA MOHAN","6839435","YNO 141 & 146 RAMAJIPET VILLAGE, YADAGIRIGUTTA MANDAL","YADADRI","TELANGANA","5000","18-Jan-2024","17-Jan-2029","9866522905","Active",""
"DADUVY DEVI","SARALADEVI GODOWNS","6934293","SYNO 645/A/1, MUDIREDDYPALLY","MAHABUBNAGAR","TELANGANA","23389","28-May-2024","27-May-2029","8497952500","Active",""
"DADUVY DEVI","DADUVY SARALA DEVI","6942668","GNO 2 SYNO 733 AND 728 CHERLAPALLY, JADCHERLA","MAHABUBNAGAR","TELANGANA","10000","13-Jun-2024","12-Jun-2029","8497952500","Active",""
"DADUVY KUMAR","DADUVY VIJAY KUMAR","6937445","GNO 1 AND 3 SYNO 728 733, CHERLAPALLY GRAMPANCHAYTH JADCHERLA MANDAL","MAHABUBNAGAR","TELANGANA","18000","31-May-2024","30-May-2029","9393034179","Active",""
"Deepthi Jalla","Jalla Deepthi & Jalla Divya GMR Rural Godowns","7044548","Godowns No. 8 A (ABC) & 88 (DEF), SY No 1216, 1195 Door no. 55/8 Raghavapur (V),","PEDDAPALLI","TELANGANA","10000","21-Mar-2025","20-Mar-2030","9949099333","Active",""
